일련번호,나이,학력,성별,정신건강,전문직,개발공부기간,연차,국적,연봉,보유기술개수
DEV509,<35,Undergraduate,Man,No,Dev,9,6,United States of America,75000.0,6.0
DEV510,>35,Undergraduate,Man,No,Dev,39,35,United States of America,115000.0,5.0
DEV511,<35,Undergraduate,Man,No,Dev,1,0,United Kingdom of Great Britain and Northern Ireland,38778.0,11.0
DEV512,<35,PhD,Man,No,NotDev,20,7,United Kingdom of Great Britain and Northern Ireland,161574.0,6.0
DEV513,<35,Undergraduate,Woman,No,Dev,9,6,United Kingdom of Great Britain and Northern Ireland,43948.0,9.0
DEV514,<35,Undergraduate,Man,No,Dev,14,9,United States of America,105000.0,10.0
DEV515,>35,Master,Man,No,NotDev,31,20,United States of America,130000.0,8.0
DEV516,<35,Other,Man,No,Dev,6,6,Germany,39564.0,7.0
DEV517,<35,Undergraduate,Man,No,Dev,6,3,United States of America,66000.0,32.0
DEV518,<35,Undergraduate,Man,No,Dev,4,2,India,6696.0,6.0
DEV519,<35,Undergraduate,Man,Yes,Dev,10,8,United States of America,54000.0,5.0
DEV520,<35,Undergraduate,Man,No,Dev,17,11,Canada,74497.0,7.0
DEV521,<35,Undergraduate,Man,No,Dev,9,7,United Kingdom of Great Britain and Northern Ireland,60752.0,21.0
DEV522,>35,Undergraduate,Man,No,Dev,20,16,India,27923.0,12.0
DEV523,<35,Undergraduate,Man,No,Dev,5,0,India,3490.0,14.0
DEV524,<35,Other,Man,No,Dev,5,3,Germany,43239.0,21.0
DEV525,<35,Undergraduate,Man,No,Dev,13,5,Canada,58236.0,7.0
DEV526,<35,Undergraduate,Man,No,Dev,7,3,India,12564.0,11.0
DEV527,<35,Undergraduate,Man,No,Dev,15,7,United Kingdom of Great Britain and Northern Ireland,127967.0,7.0
DEV528,<35,Undergraduate,Man,Yes,Dev,10,7,United Kingdom of Great Britain and Northern Ireland,69800.0,16.0
DEV529,>35,Undergraduate,Man,No,Dev,27,16,Canada,69581.0,10.0
DEV530,>35,Other,Man,No,Dev,13,11,United States of America,135000.0,7.0
DEV531,>35,Undergraduate,Man,No,Dev,32,17,United Kingdom of Great Britain and Northern Ireland,125382.0,7.0
DEV532,<35,Undergraduate,Man,No,Dev,7,3,Germany,67452.0,18.0
DEV533,<35,NoHigherEd,Man,Yes,Dev,5,0,Germany,41508.0,12.0
DEV534,>35,Other,Man,Yes,Dev,24,20,United States of America,165000.0,21.0
DEV535,>35,Master,Man,Yes,Dev,20,20,Canada,77900.0,24.0
DEV536,<35,Other,Man,No,Dev,10,8,India,16754.0,29.0
DEV537,<35,Undergraduate,Man,No,Dev,5,4,United Kingdom of Great Britain and Northern Ireland,77556.0,9.0
DEV538,<35,Master,Man,No,Dev,16,9,United States of America,130000.0,9.0
DEV539,<35,Undergraduate,Man,No,Dev,8,4,India,8040.0,6.0
DEV540,>35,Undergraduate,Man,No,Dev,26,20,United States of America,70000.0,6.0
DEV541,<35,Undergraduate,Man,No,Dev,6,2,United States of America,65000.0,19.0
DEV542,>35,Master,Woman,No,Dev,11,8,India,5868.0,10.0
DEV543,>35,Undergraduate,Man,No,Dev,24,16,Canada,121010.0,10.0
DEV544,<35,Undergraduate,NonBinary,No,Dev,8,7,Germany,77831.0,13.0
DEV545,<35,Master,Man,Yes,Dev,16,5,United Kingdom of Great Britain and Northern Ireland,49119.0,6.0
DEV546,<35,Undergraduate,Man,No,Dev,6,5,India,11169.0,11.0
DEV547,<35,Undergraduate,Man,Yes,Dev,7,0,United States of America,73000.0,13.0
DEV548,>35,Master,Man,Yes,Dev,20,16,United Kingdom of Great Britain and Northern Ireland,58167.0,11.0
DEV549,<35,Master,Man,No,Dev,12,2,Canada,45379.0,3.0
DEV550,>35,Master,Man,No,NotDev,16,9,United States of America,86000.0,3.0
DEV551,>35,Undergraduate,Man,No,Dev,20,17,United Kingdom of Great Britain and Northern Ireland,93067.0,18.0
DEV552,>35,Undergraduate,Man,No,Dev,25,15,United States of America,165000.0,17.0
DEV553,>35,Master,Man,No,Dev,24,13,United States of America,53000.0,6.0
DEV554,>35,Undergraduate,Man,No,Dev,15,14,India,83770.0,7.0
DEV555,>35,Master,Man,Yes,Dev,26,19,India,60300.0,14.0
DEV556,>35,Other,Man,Yes,Dev,25,21,Germany,108100.0,10.0
DEV557,<35,Undergraduate,Man,Yes,Dev,10,7,United States of America,100000.0,12.0
DEV558,>35,Undergraduate,Man,Yes,Dev,37,32,United States of America,165000.0,20.0
DEV559,>35,Undergraduate,Man,No,Dev,15,10,United States of America,140000.0,16.0
DEV560,<35,Undergraduate,Man,No,Dev,12,8,India,38129.0,4.0
DEV561,<35,Undergraduate,Man,No,NotDev,2,1,United States of America,60000.0,25.0
DEV562,<35,Other,Man,No,Dev,7,4,United States of America,75000.0,15.0
DEV563,<35,Undergraduate,Man,No,Dev,5,3,India,6696.0,22.0
DEV564,>35,PhD,Man,Yes,NotDev,20,14,Canada,83194.0,4.0
DEV565,>35,Master,Man,No,Dev,35,25,Germany,77544.0,10.0
DEV566,>35,Other,Man,Yes,Dev,28,23,United States of America,110000.0,6.0
DEV567,<35,Undergraduate,Man,No,Dev,18,12,United States of America,180000.0,17.0
DEV568,<35,Master,Man,No,Dev,9,2,India,12566.0,12.0
DEV569,<35,Undergraduate,Man,Yes,Dev,11,6,Canada,56723.0,8.0
DEV570,<35,Undergraduate,Man,No,Dev,13,5,United States of America,24000.0,12.0
DEV571,>35,Undergraduate,Man,No,Dev,20,10,United Kingdom of Great Britain and Northern Ireland,129250.0,7.0
DEV572,<35,Master,Man,No,Dev,16,9,Germany,64859.0,16.0
DEV573,<35,Undergraduate,Man,No,Dev,4,0,United States of America,56400.0,9.0
DEV574,<35,Master,Man,Yes,Dev,9,0,Germany,51887.0,5.0
DEV575,<35,Undergraduate,Man,Yes,NotDev,8,5,United States of America,50000.0,11.0
DEV576,<35,Undergraduate,Man,Yes,Dev,5,2,United States of America,145000.0,12.0
DEV577,<35,Other,Man,No,Dev,7,6,United States of America,141000.0,10.0
DEV578,<35,Undergraduate,Man,No,Dev,11,7,United States of America,102974.0,9.0
DEV579,<35,Master,Man,Yes,Dev,10,6,Germany,70044.0,8.0
DEV580,<35,Master,Man,Yes,Dev,17,4,Germany,73511.0,14.0
DEV581,<35,Undergraduate,Man,No,Dev,10,2,India,8656.0,18.0
DEV582,>35,Undergraduate,Man,No,Dev,35,35,United States of America,175000.0,6.0
DEV583,>35,Undergraduate,Man,No,Dev,37,23,United States of America,171000.0,15.0
DEV584,<35,Master,Man,No,Dev,7,1,India,840.0,17.0
DEV585,<35,PhD,Man,No,NotDev,6,1,United States of America,64000.0,4.0
DEV586,>35,Undergraduate,Man,No,Dev,20,14,United Kingdom of Great Britain and Northern Ireland,104700.0,15.0
DEV587,<35,Undergraduate,Man,No,NotDev,10,6,Germany,25944.0,13.0
DEV588,>35,Undergraduate,Man,No,Dev,23,13,Canada,73362.0,21.0
DEV589,<35,Undergraduate,Man,No,Dev,14,7,United Kingdom of Great Britain and Northern Ireland,90482.0,8.0
DEV590,<35,Master,Man,Yes,NotDev,19,6,United States of America,200000.0,4.0
DEV591,>35,Undergraduate,Man,No,Dev,15,13,Germany,70264.0,16.0
DEV592,<35,Undergraduate,Man,No,Dev,14,10,United States of America,200000.0,11.0
DEV593,<35,Undergraduate,Man,No,Dev,6,5,India,28622.0,7.0
DEV594,>35,Undergraduate,Man,No,Dev,12,8,United Kingdom of Great Britain and Northern Ireland,48472.0,10.0
